"","point","time","EHC-OD_1","EHC-OD_2","KS-08-OD_1","KS-08-OD_2","EHC_1","EHC_2","elapsed_h","time_lbl"
"1",0,"14:05:25",0.412,-0.209,0.008,0.213,-0.422,-0.634,0,"Day 0
00:00"
"2",1,"14:35:23",0.451,-0.236,-0.051,-0.024,-0.02,-0.481,0.499444444444444,"Day 0
00:29"
"3",2,"15:05:23",0.772,-0.132,0.01,0.078,-0.432,-0.845,0.999444444444444,"Day 0
00:59"
"4",3,"15:35:24",0.655,0.134,0.129,-0.542,-0.298,-0.845,1.49972222222222,"Day 0
01:29"
"5",4,"16:05:23",0.652,-0.249,0.459,-0.044,-0.589,-0.845,1.99944444444444,"Day 0
01:59"
"6",5,"16:35:22",0.62,-0.118,-0.093,-0.652,-0.478,-0.845,2.49916666666667,"Day 0
02:29"
"7",6,"17:05:21",0.665,-0.222,0.47,-0.504,-0.176,-0.811,2.99888888888889,"Day 0
02:59"
"8",7,"17:35:24",0.162,-0.311,-0.028,0.059,-0.344,-0.306,3.49972222222222,"Day 0
03:29"
"9",8,"18:05:23",-0.086,-0.045,0.482,-0.655,-0.242,-0.379,3.99944444444444,"Day 0
03:59"
"10",9,"18:35:21",-0.197,-0.222,0.343,-0.551,-0.242,-0.549,4.49888888888889,"Day 0
04:29"
"11",10,"19:05:22",0.11,0.263,0.376,-0.314,-0.39,-0.411,4.99916666666667,"Day 0
04:59"
"12",11,"19:35:23",-0.172,0.262,0.003,-0.598,-0.731,-0.141,5.49944444444444,"Day 0
05:29"
"13",12,"20:05:23",-0.16,0.105,0.452,-0.574,-0.147,-0.381,5.99944444444444,"Day 0
05:59"
"14",13,"20:35:23",-0.316,-0.018,0.404,-0.599,0.089,-0.404,6.49944444444444,"Day 0
06:29"
"15",14,"21:05:21",0.062,0.27,0.06,0.037,-0.136,-0.413,6.99888888888889,"Day 0
06:59"
"16",15,"21:35:20",-0.015,-0.22,0.422,-0.271,-0.318,-0.051,7.49861111111111,"Day 0
07:29"
"17",16,"22:05:19",0.229,-0.049,0.24,-0.185,-0.417,-0.845,7.99833333333333,"Day 0
07:59"
"18",17,"22:35:22",0.318,-0.139,0.301,-0.564,-0.022,-0.083,8.49916666666667,"Day 0
08:29"
"19",18,"23:05:18",-0.189,-0.049,0.149,0.223,-0.411,-0.295,8.99805555555556,"Day 0
08:59"
"20",19,"23:35:18",-0.17,0.053,0.324,-0.657,-0.754,-0.56,9.49805555555556,"Day 0
09:29"
"21",20,"00:05:18",-0.296,-0.01,0.127,-0.109,-0.46,-0.521,9.99805555555556,"Day 0
09:59"
"22",21,"00:35:20",-0.247,-0.078,0.149,-0.468,-0.015,-0.5,10.4986111111111,"Day 0
10:29"
"23",22,"01:05:20",0.241,0.134,-0.02,-0.643,-0.407,0.192,10.9986111111111,"Day 0
10:59"
"24",23,"01:35:17",-0.076,0.149,0.561,-0.146,-0.732,-0.236,11.4977777777778,"Day 0
11:29"
"25",24,"02:05:16",0.17,-0.105,0.526,-0.352,-0.049,-0.15,11.9975,"Day 0
11:59"
"26",25,"02:35:18",-0.351,0.063,0.262,0.017,-0.194,0.352,12.4980555555556,"Day 0
12:29"
"27",26,"03:05:19",0.451,-0.062,0.397,0.289,-0.344,-0.38,12.9983333333333,"Day 0
12:59"
"28",27,"03:35:17",-0.322,0.069,-0.055,-0.571,-0.328,-0.042,13.4977777777778,"Day 0
13:29"
"29",28,"04:05:19",0.432,-0.308,0.344,-0.54,-0.398,-0.418,13.9983333333333,"Day 0
13:59"
"30",29,"04:35:15",-0.128,-0.227,0.405,-0.097,-0.622,-0.465,14.4972222222222,"Day 0
14:29"
"31",30,"05:05:18",-0.095,0.064,0.03,-0.665,-0.191,0.14,14.9980555555556,"Day 0
14:59"
"32",31,"05:35:17",-0.052,0.103,0.291,-0.514,-0.247,-0.009,15.4977777777778,"Day 0
15:29"
"33",32,"06:05:14",-0.35,-0.211,0.22,0.044,-0.245,-0.386,15.9969444444444,"Day 0
15:59"
"34",33,"06:35:18",0.169,-0.106,0.02,-0.611,-0.387,0.198,16.4980555555556,"Day 0
16:29"
"35",34,"07:05:17",0.146,0.71,-0.012,-0.62,-0.754,-0.015,16.9977777777778,"Day 0
16:59"
"36",35,"07:35:13",-0.137,0.077,0.313,-0.607,-0.258,-0.366,17.4966666666667,"Day 0
17:29"
"37",36,"08:05:13",-0.25,-0.106,0.126,-0.649,-0.487,0.278,17.9966666666667,"Day 0
17:59"
"38",37,"08:35:17",0.43,-0.216,-0.081,-0.119,-0.689,-0.013,18.4977777777778,"Day 0
18:29"
"39",38,"09:05:12",-0.223,0.045,0.134,-0.606,-0.417,0.113,18.9963888888889,"Day 0
18:59"
"40",39,"09:35:16",0.459,-0.095,0.151,-0.6,-0.754,0.257,19.4975,"Day 0
19:29"
"41",40,"10:05:15",-0.134,-0.01,-0.141,0.113,-0.189,-0.478,19.9972222222222,"Day 0
19:59"
"42",41,"10:35:13",0.183,0.019,0.185,-0.383,-0.524,0.199,20.4966666666667,"Day 0
20:29"
"43",42,"11:05:12",0.15,0.171,0.554,-0.627,-0.449,0.258,20.9963888888889,"Day 0
20:59"
"44",43,"11:35:15",-0.144,-0.252,-0.01,-0.621,-0.504,-0.182,21.4972222222222,"Day 0
21:29"
"45",44,"12:05:13",0.337,-0.142,0.133,-0.129,-0.154,-0.134,21.9966666666667,"Day 0
21:59"
"46",45,"12:35:14",0.416,0.08,0.202,-0.114,-0.514,0.271,22.4969444444444,"Day 0
22:29"
"47",46,"13:05:12",-0.201,-0.346,0.324,-0.002,-0.433,-0.277,22.9963888888889,"Day 0
22:59"
"48",47,"13:35:11",0.088,-0.153,0.739,-0.632,-0.272,0.26,23.4961111111111,"Day 0
23:29"
"49",48,"14:05:13",0.307,-0.049,0.01,-0.579,-0.359,0.127,23.9966666666667,"Day 0
23:59"
"50",49,"14:35:11",-0.284,-0.223,0.061,-0.669,-0.306,-0.262,24.4961111111111,"Day 1
00:29"
"51",50,"15:05:09",-0.255,0.24,0.245,-0.651,-0.754,0.282,24.9955555555556,"Day 1
00:59"
"52",51,"15:35:11",-0.336,-0.144,0.11,-0.459,-0.269,0.15,25.4961111111111,"Day 1
01:29"
"53",52,"16:05:08",-0.136,0.073,0.354,0.052,-0.353,0.045,25.9952777777778,"Day 1
01:59"
"54",53,"16:35:09",-0.379,0.587,0.165,0.408,-0.404,-0.236,26.4955555555556,"Day 1
02:29"
"55",54,"17:05:10",-0.204,-0.272,0.129,0.155,-0.532,0.133,26.9958333333333,"Day 1
02:59"
"56",55,"17:35:10",-0.194,-0.017,0.542,0.454,-0.621,0.067,27.4958333333333,"Day 1
03:29"
"57",56,"18:05:09",0.437,-0.129,-0.168,0.179,-0.648,0.051,27.9955555555556,"Day 1
03:59"
"58",57,"18:35:11",-0.324,0.006,0.366,0.379,0.15,-0.093,28.4961111111111,"Day 1
04:29"
"59",58,"19:05:06",-0.222,-0.137,0.896,0.209,-0.424,0.328,28.9947222222222,"Day 1
04:59"
"60",59,"19:35:09",-0.148,-0.105,-0.067,-0.049,-0.571,-0.179,29.4955555555556,"Day 1
05:29"
"61",60,"20:05:08",-0.426,-0.122,-0.051,0.216,-0.008,0.118,29.9952777777778,"Day 1
05:59"
"62",61,"20:35:10",-0.409,-0.129,0.413,0.731,-0.649,0.061,30.4958333333333,"Day 1
06:29"
"63",62,"21:05:07",0.132,0.331,0.503,0.313,-0.215,-0.193,30.995,"Day 1
06:59"
"64",63,"21:35:06",0.061,-0.11,0.664,0.09,-0.49,0.38,31.4947222222222,"Day 1
07:29"
"65",64,"22:05:07",0.502,-0.092,-0.136,0.655,-0.738,0.063,31.995,"Day 1
07:59"
"66",65,"22:35:07",-0.016,-0.23,0.438,0.317,-0.513,-0.546,32.495,"Day 1
08:29"
"67",66,"23:05:08",-0.089,-0.046,0.327,0.273,-0.134,-0.311,32.9952777777778,"Day 1
08:59"
"68",67,"23:35:06",0.378,-0.171,-0.124,0.382,-0.335,0.017,33.4947222222222,"Day 1
09:29"
